zip_code,zcta,source,zcta_crosswalk
1001,1001,geonames,01001
1002,1002,geonames,01002
1003,1003,geonames,01003
1004,1002,geonames,01002
10043,10007,geonames,10005
1005,1005,geonames,01005
10055,10024,geonames,10022
10060,10024,geonames,10199
1007,1007,geonames,01007
1008,1008,geonames,01008
10080,10007,geonames,10282
10081,10007,geonames,10005
10087,10024,geonames,10017
1009,1009,geonames,01009
10090,10024,geonames,10007
1010,1010,geonames,01010
10101,10024,geonames,10019
10102,10024,geonames,10019
10108,10024,geonames,10036
10109,10024,geonames,10036
1011,1011,geonames,01011
10113,10024,geonames,10011
10114,10024,geonames,10003
10116,10024,geonames,10001
10117,10024,geonames,10119
1012,1012,geonames,01012
10121,10119,geonames,10011
10124,10024,geonames,10152
10125,10024,geonames,10001
10126,10024,geonames,10022
10129,10024,geonames,10018
1013,1013,geonames,01013
10130,10024,geonames,10001
10131,10024,geonames,10021
10133,10024,geonames,10023
10138,10024,geonames,10016
1014,1020,geonames,01013
10150,10024,geonames,10022
10151,10019,geonames,10022
10156,10024,geonames,10016
10157,10024,geonames,10016
10159,10024,geonames,10010
10160,10024,geonames,10010
10161,10024,geonames,
10163,10024,geonames,10170
10164,10024,geonames,10017
10166,10169,geonames,10017
10179,10024,geonames,10017
10185,10024,geonames,10020
1020,1020,geonames,01020
10203,10007,geonames,10005
1021,1020,geonames,01020
10211,10024,geonames,10199
10212,10007,geonames,10199
10213,10007,geonames,10013
1022,1022,geonames,01022
10256,10007,geonames,10006
10258,10007,geonames,10271
10259,10007,geonames,10017
1026,1026,geonames,01026
10260,10007,geonames,10005
10261,10024,geonames,10017
10265,10007,geonames,10005
10268,10024,geonames,10007
10269,10024,geonames,10005
1027,1027,geonames,01027
10272,10024,geonames,10038
10273,10007,geonames,10038
10274,10024,geonames,10007
10275,10024,geonames,10004
10276,10024,geonames,10003
10277,10024,geonames,10278
1028,1028,geonames,01028
10281,10282,geonames,10280
10285,10007,geonames,10282
10286,10007,geonames,10005
1029,1029,geonames,01029
1030,1030,geonames,01030
1031,1031,geonames,01031
10313,10306,geonames,10314
1032,1032,geonames,01032
1033,1033,geonames,01033
1034,1034,geonames,01034
1035,1035,geonames,01035
1036,1036,geonames,01036
1037,1037,geonames,01037
1038,1038,geonames,01038
1039,1039,geonames,01039
1040,1040,geonames,01040
1041,1040,geonames,01040
1050,1050,geonames,01050
1053,1053,geonames,01053
1054,1054,geonames,01054
10540,10541,geonames,10540
10542,10541,geonames,10542
1056,1056,geonames,01056
1057,1057,geonames,01057
1059,1002,geonames,01002
1060,1060,geonames,01060
10602,10601,geonames,10606
1061,1088,geonames,01060
10610,10504,geonames,10604
1062,1062,geonames,01062
1063,1063,geonames,01063
1066,1066,geonames,01066
1068,1068,geonames,01068
1069,1069,geonames,01069
1070,1070,geonames,01070
1071,1071,geonames,01071
1072,1072,geonames,01072
1073,1073,geonames,01073
1074,1074,geonames,01074
1075,1075,geonames,01075
1077,1077,geonames,01077
1079,1079,geonames,01079
1080,1080,geonames,01080
1081,1081,geonames,01081
1082,1082,geonames,01082
1083,1083,geonames,01083
1084,1084,geonames,01084
1085,1085,geonames,01085
1086,1086,geonames,01085
1088,1088,geonames,01088
1089,1089,geonames,01089
1090,1020,geonames,01089
1092,1092,geonames,01092
1093,1093,geonames,01093
1094,1094,geonames,01094
1095,1095,geonames,01095
1096,1096,geonames,01096
1097,1097,geonames,01097
1098,1098,geonames,01098
1101,1103,geonames,01104
1102,1020,geonames,01104
11022,11590,geonames,11021
11026,11590,geonames,11021
11027,11023,geonames,11021
1103,1103,geonames,01103
1104,1104,geonames,01104
1105,1105,geonames,01105
11051,11590,geonames,11050
11052,11590,geonames,11050
11053,11590,geonames,11050
11054,11590,geonames,11050
11055,11590,geonames,11050
1106,1106,geonames,01106
1107,1107,geonames,01107
1108,1108,geonames,01108
1109,1109,geonames,01109
1111,1020,geonames,01109
1115,1103,geonames,01103
1116,1020,geonames,01106
1118,1118,geonames,01118
1119,1119,geonames,01119
11202,11203,geonames,11201
11241,11203,geonames,11201
11242,11203,geonames,11201
11243,11203,geonames,11217
11245,11203,geonames,11201
11247,11203,geonames,11216
11249,11203,geonames,11249
11251,11203,geonames,11211
11252,11203,geonames,11209
11256,11203,geonames,11208
1128,1128,geonames,01128
1129,1129,geonames,01129
11351,11351,geonames,11357
11352,11239,geonames,11355
1138,1020,geonames,01108
11381,11239,geonames,11379
1139,1020,geonames,01109
11405,11239,geonames,11433
11425,11425,geonames,11209
11431,11416,geonames,11432
11437,,,11413
11439,11432,geonames,11439
1144,1103,geonames,01144
11499,11239,geonames,11430
1151,1151,geonames,01151
1152,1020,geonames,01151
11695,11239,geonames,11693
11707,11704,geonames,11702
11760,11747,geonames,11788
11815,11590,geonames,11801
11819,11801,geonames,
1199,1199,geonames,01107
1201,1201,geonames,01201
12016,12072,geonames,12010
1202,1240,geonames,01201
1203,1240,geonames,01201
12050,12534,geonames,12173
12055,12186,geonames,12193
